Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,320.000000,332.750000,320.000000,331.299988,311.355255,2292914
2019-03-06,332.000000,338.299988,327.500000,330.350006,310.462463,1355928
2019-03-07,330.950012,333.649994,324.000000,326.600006,306.938232,1173766
2019-03-08,326.000000,336.000000,324.200012,324.950012,305.387573,599037
2019-03-11,326.950012,333.850006,325.000000,332.850006,312.812012,728477
2019-03-12,333.299988,342.799988,333.299988,336.350006,316.101257,1840847
2019-03-13,336.750000,338.399994,327.350006,330.649994,310.744415,2257887
2019-03-14,332.450012,335.700012,328.500000,330.649994,310.744415,953743
2019-03-15,331.149994,349.450012,329.399994,342.450012,321.834076,3777187
2019-03-18,345.450012,345.450012,337.799988,339.500000,319.061646,782816
2019-03-19,340.850006,344.399994,335.799988,337.149994,316.853088,855722
2019-03-20,337.500000,341.899994,336.250000,337.899994,317.557953,498505
2019-03-22,337.899994,342.350006,330.750000,332.850006,312.812012,1028812
2019-03-25,332.649994,334.000000,325.049988,332.100006,312.107117,627229
2019-03-26,332.350006,336.899994,331.700012,335.950012,315.725403,860971
2019-03-27,336.000000,341.700012,329.149994,330.000000,310.133545,964560
2019-03-28,332.000000,337.799988,330.500000,335.950012,315.725403,770606
2019-04-01,348.950012,352.600006,343.149994,344.250000,323.525665,1190335
2019-04-02,346.299988,348.700012,342.299988,344.049988,323.337738,778319
2019-04-03,345.799988,346.250000,337.549988,338.750000,318.356812,609970
2019-04-04,339.700012,346.000000,337.450012,344.399994,323.666626,554711
2019-04-05,346.149994,348.950012,343.399994,345.399994,324.606476,749516
2019-04-08,346.000000,350.000000,340.299988,342.450012,321.834076,1622334
2019-04-09,342.500000,344.500000,339.049988,341.600006,321.035217,445165
2019-04-10,340.600006,348.899994,339.250000,343.399994,322.726868,998246
2019-04-11,344.899994,346.350006,342.450012,345.100006,324.324524,590665
2019-04-12,343.250000,347.149994,341.200012,341.899994,321.317169,501500
2019-04-15,341.549988,344.200012,338.799988,341.000000,320.471375,508153
2019-04-16,341.049988,342.799988,336.899994,337.899994,317.557953,951058
2019-04-18,339.649994,340.399994,334.250000,336.500000,316.242188,896846
2019-04-22,332.000000,335.799988,329.350006,330.700012,310.791443,459004
2019-04-23,332.000000,333.399994,327.850006,328.750000,308.958832,512716
2019-04-24,329.600006,330.799988,326.100006,329.549988,309.710632,807639
2019-04-25,329.549988,331.350006,323.000000,323.950012,304.447784,1722880
2019-04-26,325.000000,331.250000,324.950012,328.000000,308.253937,1025254
2019-04-30,328.000000,328.850006,320.500000,325.450012,305.857452,1221560
2019-05-02,323.850006,324.299988,313.200012,314.899994,295.942535,1091370
2019-05-03,312.500000,318.799988,300.049988,303.850006,285.557831,2044853
2019-05-06,293.000000,311.450012,292.850006,307.450012,288.941101,4497822
2019-05-07,307.000000,310.000000,297.250000,299.200012,281.187744,1434753
2019-05-08,298.899994,300.000000,284.649994,286.600006,269.346283,2044037
2019-05-09,284.250000,292.450012,282.299988,290.549988,273.058472,2109439
2019-05-10,288.000000,294.899994,286.649994,289.250000,271.836761,917658
2019-05-13,279.649994,284.049988,265.000000,268.850006,252.664856,3848880
2019-05-14,268.000000,269.000000,259.399994,260.649994,244.958511,2820073
2019-05-15,263.000000,264.549988,255.100006,260.450012,244.770569,2946302
2019-05-16,260.200012,261.000000,241.750000,257.700012,242.186142,8000269
2019-05-17,257.700012,260.200012,247.199997,249.649994,234.620728,4218861
2019-05-20,251.050003,257.450012,248.000000,250.550003,235.466568,3865005
2019-05-21,251.699997,255.000000,243.000000,244.750000,230.015717,3941548
2019-05-22,244.399994,251.649994,242.100006,250.350006,235.278595,3185013
2019-05-23,253.000000,255.699997,248.699997,250.300003,235.231613,4433569
2019-05-24,249.050003,256.799988,247.649994,252.800003,237.581085,3132312
2019-05-27,254.600006,259.750000,253.000000,255.000000,239.648636,2755381
